id,kemendragi_code,province_id,name,timezone,lat,lng,elevation,created_at,updated_at
1101,11.01,11,Kabupaten Aceh Selatan,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.028,2025-03-04 02:28:14.028
1102,11.02,11,Kabupaten Aceh Tenggara,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.032,2025-03-04 02:28:14.032
1103,11.03,11,Kabupaten Aceh Timur,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.033,2025-03-04 02:28:14.033
1104,11.04,11,Kabupaten Aceh Tengah,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.034,2025-03-04 02:28:14.034
1105,11.05,11,Kabupaten Aceh Barat,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.035,2025-03-04 02:28:14.035
1106,11.06,11,Kabupaten Aceh Besar,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.036,2025-03-04 02:28:14.036
1107,11.07,11,Kabupaten Pidie,WIB,5.0742659,95.940971,1119,2025-03-04 02:28:14.036,2025-03-04 02:28:14.036
1108,11.08,11,Kabupaten Aceh Utara,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.037,2025-03-04 02:28:14.037
1109,11.09,11,Kabupaten Simeulue,WIB,2.6439724,96.0255738,53,2025-03-04 02:28:14.038,2025-03-04 02:28:14.038
1110,11.10,11,Kabupaten Aceh Singkil,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.039,2025-03-04 02:28:14.039
1111,11.11,11,Kabupaten Bireuen,WIB,5.1086446,96.663812,118,2025-03-04 02:28:14.039,2025-03-04 02:28:14.039
1112,11.12,11,Kabupaten Aceh Barat Daya,WIB,3.7963426,97.0068393,1274,2025-03-04 02:28:14.04,2025-03-04 02:28:14.04
1113,11.13,11,Kabupaten Gayo Lues,WIB,3.955165,97.3516558,973,2025-03-04 02:28:14.041,2025-03-04 02:28:14.041
1114,11.14,11,Kabupaten Aceh Jaya,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.042,2025-03-04 02:28:14.042
1115,11.15,11,Kabupaten Nagan Raya,WIB,4.1248406,96.4929797,77,2025-03-04 02:28:14.043,2025-03-04 02:28:14.043
1116,11.16,11,Kabupaten Aceh Tamiang,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.043,2025-03-04 02:28:14.043
1117,11.17,11,Kabupaten Bener Meriah,WIB,4.8317115,96.7253164,810,2025-03-04 02:28:14.044,2025-03-04 02:28:14.044
1118,11.18,11,Kabupaten Pidie Jaya,WIB,5.1548063,96.195132,181,2025-03-04 02:28:14.045,2025-03-04 02:28:14.045
1171,11.71,11,Kota Banda Aceh,WIB,5.5482904,95.3237559,10,2025-03-04 02:28:14.046,2025-03-04 02:28:14.046
1172,11.72,11,Kota Sabang,WIB,5.8926053,95.3237608,43,2025-03-04 02:28:14.047,2025-03-04 02:28:14.047
1173,11.73,11,Kota Lhokseumawe,WIB,5.1811638,97.1413222,4,2025-03-04 02:28:14.047,2025-03-04 02:28:14.047
1174,11.74,11,Kota Langsa,WIB,4.4725348,97.9756343,8,2025-03-04 02:28:14.048,2025-03-04 02:28:14.048
1175,11.75,11,Kota Subulussalam,WIB,2.7121164,97.9157099,34,2025-03-04 02:28:14.051,2025-03-04 02:28:14.051
1201,12.01,12,Kabupaten Tapanuli Tengah,WIB,1.8493299,98.704075,160,2025-03-04 02:28:14.052,2025-03-04 02:28:14.052
1202,12.02,12,Kabupaten Tapanuli Utara,WIB,2.0405246,99.1013498,1207,2025-03-04 02:28:14.052,2025-03-04 02:28:14.052
1203,12.03,12,Kabupaten Tapanuli Selatan,WIB,1.5774933,99.2785583,1070,2025-03-04 02:28:14.053,2025-03-04 02:28:14.053
1204,12.04,12,Kabupaten Nias,WIB,1.0869444,97.7416703,25,2025-03-04 02:28:14.054,2025-03-04 02:28:14.054
1205,12.05,12,Kabupaten Langkat,WIB,3.8653916,98.3088441,47,2025-03-04 02:28:14.054,2025-03-04 02:28:14.054
1206,12.06,12,Kabupaten Karo,WIB,2.9397267,98.5093057,1459,2025-03-04 02:28:14.055,2025-03-04 02:28:14.055
1207,12.07,12,Kabupaten Deli Serdang,WIB,3.4201802,98.704075,104,2025-03-04 02:28:14.056,2025-03-04 02:28:14.056
1208,12.08,12,Kabupaten Simalungun,WIB,2.9781612,99.2785583,120,2025-03-04 02:28:14.057,2025-03-04 02:28:14.057
1209,12.09,12,Kabupaten Asahan,WIB,2.8174722,99.634135,37,2025-03-04 02:28:14.057,2025-03-04 02:28:14.057
1210,12.10,12,Kabupaten Labuhanbatu,WIB,2.3439863,100.1703257,8,2025-03-04 02:28:14.058,2025-03-04 02:28:14.058
1211,12.11,12,Kabupaten Dairi,WIB,2.8675801,98.265058,525,2025-03-04 02:28:14.059,2025-03-04 02:28:14.059
1212,12.12,12,Kabupaten Toba,WIB,2.3502398,99.2785583,1243,2025-03-04 02:28:14.06,2025-03-04 02:28:14.06
1213,12.13,12,Kabupaten Mandailing Natal,WIB,0.7432372,99.3673084,846,2025-03-04 02:28:14.061,2025-03-04 02:28:14.061
1214,12.14,12,Kabupaten Nias Selatan,WIB,0.7086091,97.8286368,154,2025-03-04 02:28:14.062,2025-03-04 02:28:14.062
1215,12.15,12,Kabupaten Pakpak Bharat,WIB,2.5135376,98.2212979,635,2025-03-04 02:28:14.062,2025-03-04 02:28:14.062
