id,kemendragi_code,city_id,name,timezone,lat,lng,elevation,created_at,updated_at
110101,11.01.01,1101,Bakongan,WIB,2.9263582,97.4853813,7,2025-03-04 02:28:14.598,2025-03-04 02:28:14.598
110102,11.01.02,1101,Kluet Utara,WIB,3.090503,97.3422356,9,2025-03-04 02:28:14.602,2025-03-04 02:28:14.602
110103,11.01.03,1101,Kluet Selatan,WIB,3.0696439,97.3459186,12,2025-03-04 02:28:14.603,2025-03-04 02:28:14.603
110104,11.01.04,1101,Labuhan Haji,WIB,3.5557021,96.9957105,10,2025-03-04 02:28:14.604,2025-03-04 02:28:14.604
110105,11.01.05,1101,Meukek,WIB,3.4763715,97.0571243,12,2025-03-04 02:28:14.605,2025-03-04 02:28:14.605
110106,11.01.06,1101,Samadua,WIB,3.3144783,97.1461815,10,2025-03-04 02:28:14.606,2025-03-04 02:28:14.606
110107,11.01.07,1101,Sawang,WIB,3.4072345,97.0953053,16,2025-03-04 02:28:14.606,2025-03-04 02:28:14.606
110108,11.01.08,1101,Tapaktuan,WIB,4.695135,96.7493993,1051,2025-03-04 02:28:14.607,2025-03-04 02:28:14.607
110109,11.01.09,1101,Trumon,WIB,2.8280809,97.6242237,11,2025-03-04 02:28:14.608,2025-03-04 02:28:14.608
110110,11.01.10,1101,Pasi Raja,WIB,3.2017707,97.2752857,8,2025-03-04 02:28:14.609,2025-03-04 02:28:14.609
110111,11.01.11,1101,Labuhan Haji Timur,WIB,3.5048718,97.0312671,11,2025-03-04 02:28:14.61,2025-03-04 02:28:14.61
110112,11.01.12,1101,Labuhan Haji Barat,WIB,3.5748351,96.9767368,7,2025-03-04 02:28:14.61,2025-03-04 02:28:14.61
110113,11.01.13,1101,Kluet Tengah,WIB,3.4318905,97.3084571,1104,2025-03-04 02:28:14.611,2025-03-04 02:28:14.611
110114,11.01.14,1101,Kluet Timur,WIB,3.1522602,97.407199,27,2025-03-04 02:28:14.611,2025-03-04 02:28:14.611
110115,11.01.15,1101,Bakongan Timur,WIB,2.8929019,97.5509914,8,2025-03-04 02:28:14.612,2025-03-04 02:28:14.612
110116,11.01.16,1101,Trumon Timur,WIB,2.8574693,97.7573714,20,2025-03-04 02:28:14.613,2025-03-04 02:28:14.613
110117,11.01.17,1101,Kota Bahagia,WIB,2.9768823,97.5069587,11,2025-03-04 02:28:14.614,2025-03-04 02:28:14.614
110118,11.01.18,1101,Trumon Tengah,WIB,2.8825643,97.695192,13,2025-03-04 02:28:14.615,2025-03-04 02:28:14.615
110201,11.02.01,1102,Lawe Alas,WIB,3.4262923,97.8310337,141,2025-03-04 02:28:14.615,2025-03-04 02:28:14.615
